gid|cod_comun|sintaxon|codigo_ue
1|43414|Aceri granatensis-Fraxinetum angustifoliae|9240_2
2|42619|Caro foetidi-Juncetum maritimi|1410
3|42620|Centaureo dracunculifoliae-Dorycnietum gracilis|1410
4|42623|Puccinellietum caespitosae|1410
5|42643|Paeonio coriaceae-Festucetum elegantis|6220_5
6|42645|Deschampsio strictae-Agrostietum curtisii|6220_5
7|42648|Plantagini radicatae-Festucetum indigestae|6160
8|42658|Lemnetum gibbae|3150_0
9|42664|Ricciocarpetum natantis|3150_0
10|42678|Junco emmanuelis-Eleocharitetum multicaulis|3110_0
11|42679|Scirpo fluitantis-Juncetum heterophylli|3110_0
12|42698|Teucrio pseudochamaepityos-Brachypodietum retusi|6220_1
13|42699|Helictotricho sarracenorum-Brachypodietum boissieri|6220_1
14|42700|Brachypodio boissieri-Trisetetum velutini|6220_3
15|42701|Festuco hystricis-Avenetum filifoliae|6220_1
16|42702|Pilosello capitatae-Brachypodietum retusi|6220_3
17|42703|Phlomido lychnitidis-Brachypodietum retusi|6220_1
18|42705|Phlomido lychnitidis-Brachypodietum retusi thymetosum baetici|6220_1
19|42706|Ruto angustifoliae-Brachypodietum retusi|6220_1
20|42708|Helictotricho filifolii-Festucetum scariosae|6220_1
21|42709|Avenulo pauneroi-Helictotrichetum cazorlensis|6220_1
22|42710|Festuco scariosae-Helictotrichetum arundani|6220_1
23|42711|Comunidad de Festuca indigesta subsp. hackeliana|6170
24|42712|Comunidad de Festuca nevadensis|6160
25|42713|Dactylido hispanicae-Festucetum scariosae|6220_1
26|42768|Holoschoenetum vulgaris|6420
27|42769|Lysimachio ephemeri-Holoschoenetum|6420
28|42770|Trifolio resupinati-Holoschoenetum|6420
29|42771|Peucedano hispanici-Sonchetum aquatilis|6420
30|29882|Malcolmietalia|2230_0
31|29882|Malcolmietalia|2230_1
32|29896|Holoschoenetalia vulgaris|2190
33|29963|Plantagini coronopi-Hordeetum marini|1310
34|29967|Potametum trichoidis|3150_1
35|29968|Callitricho stagnalis-Ranunculetum saniculifolii|3150_1
36|29968|Callitricho stagnalis-Ranunculetum saniculifolii|3170
37|29968|Callitricho stagnalis-Ranunculetum saniculifolii|3260
38|29969|Callitrichetum regis-jubae|3150_1
39|29969|Callitrichetum regis-jubae|3260
40|30054|Scrophulario laxiflorae-Rhododendretum baetici|92B0_1
41|30055|Scrophulario laxiflorae-Rhododendretum baetici culcitetosum macrocarpae|92B0_1
42|30061|Solenopsio laurentiae-Juncetum tingitani juncetosum tingitani|3170
43|30062|Solenopsio laurentiae-Juncetum tingitani pinguiculetosum lusitanicae|3170
44|30063|Juncetum perpusilli|3170
45|30064|Comunidad de Alnus glutinosa|91E0
46|30067|Asparago acutifolii-Quercetum rofundifoliae|9340
47|30068|Oleo sylvestris-Quercetum broteroi|9240_0
48|30069|Adenocarpo decorticantis-Quercetum rotundifoliae quercetosum fagineae|9340
49|30070|Vinco difformis-Ceratonietum siliquae|9320_1
50|30071|Aro italici-Oleetum sylvestris ceratonietosum siliquae|9320_0
51|30074|Thymo gracilis-Lavanduletum lanatae tymetosum baetici|5330_6
52|30076|Jasonio saxatilis-Teucrietum thymifolii|8210
53|30077|Genisto tridentis-Stauracanthetum boivinii cytisetosum tribracteolati|4030_0
54|30078|Saturejo salzmannii-Drosophylletum lusitanici saturejetosum salzmannii|4030_0
55|30079|Velezio rigidae-Asteriscetum aquatici sedetosum subentis|6220_0
56|30085|Astero squamati-Panicetum repentis|3280
57|30088|Hedysaro coronarii-Phalaridetum coerulescentis|6220_4
58|30090|Hedysaro coronarii-Phalaridetum coerulescentis convolvuletosum meonanthi|6220_4
59|30093|Comunidad de Launea lanifera|8130
60|30094|Genisto retamoidis-Retametum sphaerocarpae|5330_3
61|30095|Rhamno lycioidis-Genistetum murcicae|5330_4
62|30096|Rosetum micrantho-agrestis|5110_1
63|30097|Teucrio webbiani-Helianthemetum origanifolii|4090_1
64|30098|Lepidio subulati-Teucrietum balthazaris|1520
65|30105|Myrto communis-Quercetum rotundifoliae quercetosum|9340
66|30108|Myrto communis-Quercetum suberis pteridietosum|9330
67|42058|Eucladio-Adiantetum capilli-veneris|7220
68|42059|Trachelio coerulei-Adiantetum capilli-veneris|7220
69|42060|Eucladio-Pinguiculetum mundi|7220
70|42064|Loto cretici-Ammophiletum australis|2120
71|42069|Otantho maritimi-Ammophiletum australis|2120
72|42074|Euphorbio paraliae-Elytrigietum boreoatlanticae|2110
73|42078|Loto cretici-Crucianelletum maritimae|2210
74|42080|Artemisio crithmifoliae-Armerietum pungentis|2130
75|42088|Davallio canariensis-Sedetum baetici|8220
76|42089|Davallio canariensis-Sedetum baetici sedetosum baetici|8220
77|42090|Davallio canariensis-Sedetum baetici psilotetosum nudi|8220
78|42092|Sedo-Polypodietum cambrici|8220
79|42093|Pleurosoretum hispanici|8210
80|42096|Selaginello-Anogrammetum leptophyllae anogrammetosum leptophyllae|8220
81|42097|Selaginello-Anogrammetum leptophyllae arisaretosum proboscidei|8220
82|42098|Asplenio corunnensis-Saxifragetum gemmulosae|8220
