gid|cod|nom
1|1150*|Lagunas costeras. (*)
2|1210|Vegetación efímera sobre desechos marinos acumulados (Vegetación anual sobre desechos marinos acumulados)
3|1230+|Acantilados con vegetación de las costas atlánticas y bálticas
4|1240|Acantilados con vegetación de las costas mediterráneas con Limonium spp endémicos
5|1310|Vegetación anual pionera con Salicornia y otras especies de zonas fangosas o arenosas
6|1320|Pastizales de Spartina (Spartinion maritimi)
7|1410|Pastizales salinos mediterráneos (Juncetalia maritimi)
8|1420|Matorrales halófilos mediterráneos y termoatlánticos (Sarcocornetea fructicosae)
9|1430|Matorrales halo-nitrófilos (Pegano-Salsoletea)
10|1510*|Estepas salinas mediterráneas (Limonietalia) (*)
11|1520*|Vegetación gipsícola ibérica (Gypsophiletalia) (*)
12|2110+|Dunas móviles embrionarias
13|2120+|Dunas móviles de litoral con Ammophila arenaria (dunas blancas)
14|2130*|Dunas costeras fijas con vegetación herbácea (dunas grises) (*)
15|2150_0*|Dunas fijas descalcificadas atlánticas (Calluno-Ulicetea). Subtipo: Brezales atlánticos en dunas y arenas litorales descalcificadas (*)
16|2150_1*|Dunas fijas descalcificadas atlánticas (Calluno-Ulicetea). Subtipo: Brezales atlánticos en arenales interiores descalcificados (*)
17|2190+|Depresiones intradunales húmedas (+)
18|2210+|Dunas fijas de litoral del Crucianellion maritimae (+)
19|2230_0+|Dunas con céspedes del Malcomietalia. Subtipo: Céspedes del Malcomietalia en dunas y arenas litorales (+)
20|2230_1+|Dunas con céspedes del Malcomietalia. Subtipo: Pastizales de arenales interiores mediterráneos (+)
21|2250*|Dunas litorales con Juniperus spp. (*)
22|2260_0+|Dunas con vegetación esclerófila del Cisto-Lavanduletalia. Subtipo: Tomillares y matorrales en dunas y arenas litorales (+)
23|2260_1+|Dunas con vegetación esclerófila del Cisto-Lavanduletalia. Subtipo: Tomillares y matorrales de arenales interiores mediterráneos (+)
24|2260_2+|Dunas con vegetación esclerófila del Cisto-Lavanduletalia. Subtipo: Matorrales altos esclerófilos sobre dunas litorales (+)
25|2270*|Dunas con bosques de Pinus pinea y/o Pinus pinaster (*)
26|3110_0+|Aguas oligotróficas con un contenido de minerales muy bajo de las llanuras arenosas (Littorelletalia uniflorae). Subtipo: Aguas oligotróficas con un contenido de minerales muy bajo (+)
